192.168.10.200|E111|1|HSW-160A/B|未安裝
192.168.10.201|E112|1|HSW-160A|未安裝
192.168.10.202|E104|1|HSW-168|未安裝
192.168.10.203|E49-S2|1|SPH-3000|未安裝
192.168.10.204|E49-S3|1|SPH-3000|未安裝
192.168.10.205|E49-S4|1|SPH-3000|未安裝
192.168.10.206|E49-S5|1|SPH-3000|未安裝
192.168.10.207|G107|2|FTO-3050|
192.168.10.208|G108|2|FTO-3050|
192.168.10.209|G109|2|FTO-3050|
192.168.10.210|E49-S6|1|SPH-3000|未安裝
192.168.10.211|E49-S7|1|SPH-3000|未安裝
192.168.10.212|E49-S8|1|SPH-3000|未安裝
192.168.10.213|E114|1|TSW-168T|
192.168.10.214|E115|1|TSW-168T|
192.168.10.215|E116|1|TSW-168T|
192.168.10.216|E113|1|TSW-168T|
192.168.10.217|E117|1|TSW-168T|
192.168.10.218|E118|1|TSW-303|
192.168.10.219|E119|1|TSW-303|
192.168.10.220|E120|1|TSW-303|
192.168.10.221|E121|1|TSW-303|
192.168.10.222|E122|1|TSW-303|
192.168.10.223|E123|1|TSW-303|
192.168.10.224|G111|2|富信成|未安裝
192.168.10.225|G111|2|富信成|未安裝
192.168.20.82|G112|2|FTO-3050|
192.168.20.83|G113|2|FTO-3050|
192.168.20.83|G114|2|FTO-3050|
192.168.20.83|G115|2|FTO-3050|
192.168.20.83|G116|2|FTO-3050|
192.168.20.83|G117|2|FTO-3050|
192.168.20.83|G118|2|FTO-3050|
192.168.10.227|A01|3|CS-204K|
192.168.10.228|A02|3|CS-206|
192.168.10.229|A03|3|CS-205|
192.168.10.230|A04|3|CS-205|
192.168.10.231|A05|3|CS-205|修機中
192.168.10.232|A06|3|CS-210|
192.168.10.233|A07|3|ATS-630J|無法開機
192.168.10.234|A08|3|CS-210|
192.168.10.235|A09|3|CS-206K|
192.168.10.236|A10|3|CS-204K|
192.168.10.237|A11|3|CS-205|
192.168.10.238|A12|3|CS-210|
192.168.10.239|A13|3|CS-210|
192.168.10.240|A14|3|CS-210|
192.168.10.241|A15|3|ATS-720|
192.168.10.242|A16|3|ATS-720|
192.168.10.243|A17|3|CS-205|
192.168.10.244|A18|3|CS-206|
192.168.10.245|A19|3|CS-210|
192.168.10.246|A20|3|CS-210|
192.168.10.247|A21|3|CS-210|
192.168.10.248|A22|3|CS-210|
192.168.10.249|A23|3|ATS-720|
192.168.10.250|A24|3|CS-206|
192.168.10.251|A25|3|CS-206|
192.168.10.252|A26|3|CS-206|
192.168.20.77|A27|3|CS-223|
192.168.20.1|A28|3|CS-210|
192.168.20.2|A29|3|CS-231|備料機
192.168.20.3|A30|3|ATS-720|
192.168.20.4|A31|3|CS-210|
192.168.20.5|A32|3|CS-210|
192.168.20.6|A33|3|ATS-100M|
192.168.20.7|A34|3|ATS-900|
192.168.20.8|A35|3|ATS-600|
192.168.20.9|A36|3|ATS-600|
192.168.20.10|A37|3|ATS-600|
192.168.20.11|A38|3|ATS-720|
192.168.20.12|A39|3|ATS-630J|
192.168.20.13|A40|3|CAS-3000SA|
192.168.20.14|A41|3|CAS-3000SA|
192.168.20.15|A42|3|CAS-3000SA|
192.168.20.16|A43|3|ATS-100M|
192.168.20.17|A44|3|ATS-110M|封裝機器
192.168.20.18|A45|3|CAS-3000SA|
192.168.20.19|A46|3|ATS-600M|
192.168.20.20|A47|3|CAS-3000SA|
192.168.20.21|A48|3|CAS-4500S|未安裝
192.168.20.22|A49|4|新益昌|未安裝
192.168.20.23|A50|4|新益昌|未安裝
192.168.20.24|A57|4|新益昌|未安裝
192.168.20.25|A51|3|GT-480P|
192.168.20.26|A58|3|GT-480P|
192.168.20.27|A52|3|GT-1318P|
192.168.20.28|A53|3|GT-1318P|
192.168.20.29|A54|3|GT-1318P|
192.168.20.30|A55|3|GT-1318P|
192.168.20.31|A56|3|GT-1318P|
192.168.20.32|A59|3|GT-1318P|
192.168.20.33|A60|3|GT-1318P|
192.168.20.34|A61|3|GT-1318P|
192.168.20.35|A62|3|GT-480P|
192.168.20.36|A63|3|GT-1318P|
192.168.20.37|A64|3|GT-1318P|
192.168.20.38|A65|3|GT-1318P|
192.168.20.39|A66|3|GT-480P|
192.168.20.40|A67|4|新益昌|未安裝
192.168.20.78|A68|3|ACG-308S-H|
192.168.20.79|A69|3|ACG-508F|
192.168.20.80|A70|3|ACG-508F|
192.168.20.81|A71|3|ACG-508F|
192.168.20.41|T01|5|NCR-236A|
192.168.20.42|T02|5|NCR-236A|
192.168.20.43|T03|5|NCR-236A|
192.168.20.44|T04|5|NCR-236A|
192.168.20.45|T05|5|NCR-236A|
192.168.20.46|T06|5|NCR-236A|
192.168.20.47|T07|5|NCR-236A|
192.168.20.48|T08|5|NCR-236A|
192.168.20.49|T09|5|NCR-356B|
192.168.20.50|T10|5|NCR-236A|
192.168.20.51|T11|5|NCR-236A|
192.168.20.52|T12|5|NCR-236A|
192.168.20.53|T13|5|NCR-356B|
192.168.20.54|T16|5|NCR-236A|
192.168.20.55|T17|5|NCR-236A|
192.168.20.56|T18|5|JET-250E|不在地圖上
192.168.20.57|T19|5|JET-250E|不在地圖上
192.168.20.58|T20|5|NCR-236A|
192.168.20.59|T21|5|NCR-356B|
192.168.20.60|T22|5|CFT-450E|未安裝
192.168.20.61|T23|5|合鴻|未安裝
192.168.20.62|C01|5|富信成|
192.168.20.63|C03|5|富信成|
192.168.20.64|C04|5|TAICON|
192.168.20.65|C05|5|TAICON|
192.168.20.66|C06|5|TAICON|
192.168.20.67|C07|5|富信成|
192.168.20.68|C08|5|富信成|
192.168.20.69|B01|6|TAP-306|不在地圖上
192.168.20.70|B02|6|TAP-306|不在地圖上
192.168.20.71|B03|6|TAP-306|不在地圖上
192.168.20.72|B04|6|TAP-306|不在地圖上
192.168.20.73|B05|6|TAP-306|不在地圖上
192.168.20.74|B06|6|TAP-306|不在地圖上
192.168.20.75|B07|6|TAP-306|不在地圖上
192.168.20.76|B08|6|TAP-306|不在地圖上
